Issuer_place;Issuer_Latitude;Issuer_Longitude;Vorkommen
Aachen;50,7753455;6,0838868;1
Abenheim;49,6777459;8,2825296;1
Adenau;50,3825077;6,9316299;2
Ahrweiler;50,5417673;7,119742;1
Aichet;48,037222;14,416944;1
Albaxen;51,8215807;9,4067284;1
Allersberg;49,2513132;11,2365846;1
Altenbeuern;47,7784756;12,1480468;1
Altenrüthen;51,4963297;8,4062575;1
Altkirch;47,620391;7,243036;1
Alt-Kölln;52,513333;13,404722;1
Altmühlmünster;48,9829094;11,6215386;1
Alzenau;50,0894084;9,0587414;2
Alzey;49,7462012;8,1171135;3
Amöneburg;50,797725;8,9219942;2
Amorbach;49,6442913;9,2191083;3
Andernach;50,426057;7,4086636;6
Andlau;48,386157;7,417463;2
Andrimont;50,6139966;5,8844864;1
Antwerpen;51,2194475;4,4024643;1
Arlon;49,684722;5,815556;1
Arnstein;49,976772;9,9711794;2
Aschaffenburg;49,9806625;9,1355554;23
Astheim;49,9357892;8,3820192;2
Attendorn;51,1313927;7,9049443;1
Aub;49,552778;10,065278;1
Augsburg;48,371667;10,898333;3
Bachgau;49,9184662;9,0666872;1
Bad Aibling;47,866667;12,016667;1
Bad Camberg;50,3;8,266667;3
Bad Deutsch-Altenburg;48,131873;16,9038849;1
Bad Griesbach im Rottal;48,4501507;13,1966105;1
Bad Kreuznach;49,8440162;7,8731346;6
Bad Mergentheim;49,488537;9,7704158;2
Bad Säckingen;47,553333;7,947222;2
Bad Soden (Kinzigtal);50,2866984;9,36006;1
Baden-Baden;48,76564;8,2285242;2
Balduinstein;50,3465542;7,9700776;1
Ballenberg;49,401111;9,507778;2
Bamberg;49,8988135;10,9027636;5
Barr;48,408056;7,449722;1
Basel;47,5595986;7,5885761;1
Bassenheim;50,3582017;7,4625609;1
Bechtheim;49,7267763;8,2930334;1
Bendorf;50,4267625;7,5710628;1
Bensheim;49,6861354;8,6187296;2
Bernkastel;49,9197888;7,0626677;2
Bessenbach;49,9625958;9,2646706;1
Bettingen (Eifel);49,9439163;6,3983675;1
Beuren (Leinefelde-Worbis);51,378565;10,2791384;1
Bezau;47,23;9,54;1
Biedenkopf;50,9121507;8,5301232;1
Bielstein (Wiehl);50,970333;7,5295112;2
Bilstein (Kreuznau);50,732778;6,459167;1
Binau;49,3675064;9,05899;1
Bingen;49,9667396;7,904596;7
Birkenfeld;49,6512438;7,1631611;1
Blankenburg;51,8164261;10,9773091;1
Blankenstein (Hattingen);51,409267;7,223923;1
Bobingen;48,2696917;10,8295813;1
Böblingen;48,6813312;9,0088299;1
Bolanden;49,6393183;8,0116285;1
Bommersheim;50,2013813;8,5987488;1
Bonn;50,73743;7,0982068;1
Boppard;50,2311996;7,58853;13
Borken (Hessen);51,045833;9,283889;1
Breisach;48,0348382;7,5836067;1
Breisig;50,5061497;7,28973;1
Bretten;49,0362907;8,7010592;1
Briedel;50,0260435;7,147252;1
Brilon;51,3982179;8,5749432;1
Brückenau;50,3108959;9,7940875;1
Brugg;47,4867355;8,2109103;1
Bruneck;46,7968371;11,9402491;1
Büchenbach;49,2645152;11,0532813;1
Büchold;50,0095486;9,9513101;1
Budenheim;50,0241889;8,1727507;1
Bühl;;;1
Bühl (Baden);48,6954722;8,1380604;2
Burg Gleichenstein (Thüringen);51,29228;10,2060366;2
Burg Marientraut;49,315888;8,337454;1
Burg Scharfenstein;51,363333;10,268889;1
Burgebrach;49,8264562;10,7415935;1
Burgen (Mosel);50,2101175;7,3884061;1
Burghaslach;49,7336234;10,6005322;1
Burgkundstadt;50,1405411;11,2503111;1
Burglauer;50,2765209;10,1789942;1
Burgruine Starhemberg;47,866611;16,099139;1
Bütthart;49,5986469;9,8798711;1
Butzbach;50,4350358;8,6688418;1
Canstein (Marsberg);51,399;8,922;1
Castrop;51,5632625;7,3150145;1
Česká Lípa;50,6785201;14,5396991;1
Český Dub;50,661016;14,9961865;1
Cheb;50,079444;12,370556;1
Coburg;50,2612094;10,962695;1
Cochem;50,146944;7,166667;6
Cond;50,1456;7,1685;1
Dachau;48,270124;11,4682724;1
Danzig;54,350556;18,652778;2
Deggendorf;48,8408515;12,9574787;1
Dessau;51,8308166;12,2423302;1
Dettelbach;49,8037832;10,165725;1
Dettwiller;48,753889;7,466667;1
Dieburg;49,9010547;8,8444959;5
Diez;50,370833;8,015833;1
Dockweiler;50,2522352;6,7794751;1
Donauwörth;48,7185826;10,7778041;3
Dresden;51,0504088;13,7372621;1
Duderstadt;51,51226;10,25746;2
Duisburg;51,4344079;6,7623293;1
Düren/Hambach;50,8985922;6,4447616;1
Durlach;48,997819;8,4771923;1
Ebersbach;48,7178492;9,5283591;1
Eckenhagen;50,9904535;7,6924946;2
Ediger;50,0955309;7,1570768;1
Eggenfelden;48,403889;12,764167;1
Ehrenbreitstein;50,3645802;7,6138443;3
Eichstätt;48,8912508;11,1899861;1
Eisenstadt;47,84637;16,52796;1
Elchingen;48,4575946;10,104474;1
Ell (Luxemburg);49,7629969;5,8562677;1
Eltville;50,0289744;8,119173;1
Engelrod;50,5780773;9,2628151;1
Erbach (Odenwald);49,6590249;8,9961819;1
Erbach (Rheingau);50,020259;8,095207;2
Erding;48,3114648;11,9188758;3
Erfurt;50,9847679;11,02988;5
Erlabrunn;49,8580258;9,8435268;1
Eslohe (Sauerland);51,2541269;8,169605;1
Essen;51,4556432;7,0115552;1
Ettenheim;48,2565786;7,8138072;1
Euerhausen;49,6107397;9,9488228;1
Eutin;54,1330282;10,6095048;1
Fachbach;50,3394666;7,6894691;1
Faulbach;49,7834234;9,4450261;1
Felsberg;51,1363534;9,4191818;1
Flamersheim;50,6221231;6,8543672;1
Flonheim;49,7843377;8,0359962;1
Flörsheim;50,0123996;8,4217125;1
Floß;49,7267237;12,2778579;1
Fluhenstein;47,5176726;10,3019571;2
Forchheim;49,7213064;11,0698834;1
Fousigny;46,118452;6,358545;1
Frankfurt a. Main;50,1109221;8,6821267;9
Frankfurt-Höchst;50,102482;8,5474571;7
Frankfurt-Kalbach-Riedberg;50,189167;8,639444;1
Frankfurt-Rödelheim;50,127714;8,6076805;1
Frauenstein;50,8012443;13,5372312;2
Freiburg i. Breisgau;47,9990077;7,8421043;1
Freising;48,4028796;11,7411846;1
